Etc/UTC,Open,High,Low,Close,Volume
2026-06-12T07:55:00+00:00,4175.395,4194.295,4175.245,4194.295,249220
2026-06-12T08:00:00+00:00,4194.315,4202.655,4191.745,4197.645,277920
2026-06-12T08:05:00+00:00,4197.645,4203.325,4194.925,4201.775,201430
2026-06-12T08:10:00+00:00,4201.695,4204.695,4201.075,4203.615,200680
2026-06-12T08:15:00+00:00,4203.575,4219.885,4199.115,4217.945,289030
2026-06-12T08:20:00+00:00,4217.915,4220.485,4212.255,4218.145,283520
2026-06-12T08:25:00+00:00,4218.195,4218.905,4210.975,4212.945,218630
2026-06-12T08:30:00+00:00,4213.035,4220.005,4212.825,4218.075,216220
2026-06-12T08:35:00+00:00,4217.895,4222.305,4215.295,4220.715,194070
2026-06-12T08:40:00+00:00,4220.745,4220.845,4211.625,4218.125,212540
2026-06-12T08:45:00+00:00,4218.465,4219.975,4214.385,4218.305,165300
2026-06-12T08:50:00+00:00,4218.385,4222.275,4215.895,4221.715,148360
2026-06-12T08:55:00+00:00,4221.715,4225.825,4219.215,4219.395,152580
2026-06-12T09:00:00+00:00,4219.445,4222.595,4217.105,4221.205,155930
2026-06-12T09:05:00+00:00,4221.235,4223.835,4219.375,4222.925,122390
2026-06-12T09:10:00+00:00,4222.955,4225.315,4221.635,4223.845,108880
2026-06-12T09:15:00+00:00,4223.995,4226.705,4220.635,4223.335,202930
2026-06-12T09:20:00+00:00,4223.335,4225.475,4218.845,4222.065,188400
2026-06-12T09:25:00+00:00,4222.095,4225.665,4219.085,4220.675,152280
2026-06-12T09:30:00+00:00,4220.925,4226.105,4219.015,4225.775,172130
2026-06-12T09:35:00+00:00,4225.775,4226.905,4221.355,4223.115,149090
2026-06-12T09:40:00+00:00,4223.005,4227.725,4222.715,4225.105,124500
2026-06-12T09:45:00+00:00,4225.185,4227.715,4223.205,4223.745,137910
2026-06-12T09:50:00+00:00,4223.915,4224.455,4221.205,4223.315,144610
2026-06-12T09:55:00+00:00,4223.365,4225.295,4221.245,4221.635,101170
2026-06-12T10:00:00+00:00,4221.525,4224.345,4218.395,4221.535,135760
2026-06-12T10:05:00+00:00,4221.415,4225.435,4220.015,4224.555,100880
2026-06-12T10:10:00+00:00,4224.575,4224.745,4219.815,4221.145,123950
2026-06-12T10:15:00+00:00,4221.205,4222.085,4214.965,4217.585,129240
2026-06-12T10:20:00+00:00,4217.485,4217.555,4210.575,4213.325,129310
2026-06-12T10:25:00+00:00,4213.245,4214.105,4202.575,4206.645,221450
2026-06-12T10:30:00+00:00,4206.845,4218.505,4206.315,4214.545,177030
2026-06-12T10:35:00+00:00,4214.605,4216.175,4213.985,4215.295,122950
2026-06-12T10:40:00+00:00,4215.335,4217.175,4214.215,4215.195,91500
2026-06-12T10:45:00+00:00,4215.125,4218.505,4214.045,4215.485,99460
2026-06-12T10:50:00+00:00,4215.285,4216.015,4212.155,4213.095,104910
2026-06-12T10:55:00+00:00,4213.105,4215.295,4209.085,4210.695,121290
2026-06-12T11:00:00+00:00,4211.181,4211.815,4205.635,4205.995,144660
2026-06-12T11:05:00+00:00,4205.895,4208.815,4204.855,4207.405,127890
2026-06-12T11:10:00+00:00,4207.295,4208.095,4205.095,4207.245,106650
2026-06-12T11:15:00+00:00,4207.155,4207.885,4203.705,4205.765,102160
2026-06-12T11:20:00+00:00,4205.568,4209.835,4205.365,4209.575,104470
2026-06-12T11:25:00+00:00,4209.595,4210.065,4201.905,4202.405,105190
2026-06-12T11:30:00+00:00,4202.435,4202.505,4197.325,4199.415,132410
2026-06-12T11:35:00+00:00,4199.365,4202.725,4199.365,4202.045,115710
2026-06-12T11:40:00+00:00,4202.075,4210.235,4201.735,4209.595,115170
2026-06-12T11:45:00+00:00,4209.705,4211.675,4208.665,4210.135,106890
2026-06-12T11:50:00+00:00,4210.175,4215.235,4208.205,4214.765,122820
2026-06-12T11:55:00+00:00,4214.765,4214.805,4206.345,4206.725,121090
2026-06-12T12:00:00+00:00,4206.845,4208.675,4202.705,4206.085,228970
2026-06-12T12:05:00+00:00,4206.015,4209.075,4204.978,4207.615,166400
2026-06-12T12:10:00+00:00,4207.715,4214.115,4207.615,4214.075,108620
2026-06-12T12:15:00+00:00,4214.245,4215.205,4211.155,4211.495,126040
2026-06-12T12:20:00+00:00,4211.335,4211.805,4201.945,4203.435,165170
2026-06-12T12:25:00+00:00,4203.435,4203.445,4200.005,4200.905,127660
2026-06-12T12:30:00+00:00,4200.875,4201.605,4197.075,4199.685,156060
2026-06-12T12:35:00+00:00,4199.645,4200.875,4191.965,4192.815,189180
2026-06-12T12:40:00+00:00,4192.835,4200.635,4191.385,4196.565,176940
2026-06-12T12:45:00+00:00,4196.515,4198.145,4193.325,4196.765,181000
2026-06-12T12:50:00+00:00,4196.755,4200.365,4193.255,4193.605,156800
2026-06-12T12:55:00+00:00,4193.655,4194.435,4188.375,4191.555,187720
2026-06-12T13:00:00+00:00,4191.445,4197.825,4186.335,4196.835,276220
2026-06-12T13:05:00+00:00,4196.795,4200.995,4193.355,4199.885,170120
2026-06-12T13:10:00+00:00,4199.885,4200.625,4193.545,4198.195,150740
2026-06-12T13:15:00+00:00,4198.225,4202.795,4196.978,4202.345,159350
2026-06-12T13:20:00+00:00,4202.365,4206.575,4201.815,4203.685,189540
2026-06-12T13:25:00+00:00,4203.575,4205.055,4201.395,4202.645,208710
2026-06-12T13:30:00+00:00,4202.645,4205.265,4196.955,4198.935,346250
2026-06-12T13:35:00+00:00,4199.125,4210.125,4198.275,4207.115,376630
2026-06-12T13:40:00+00:00,4207.065,4207.395,4182.675,4190.805,372360
2026-06-12T13:45:00+00:00,4190.565,4193.845,4183.645,4190.545,396240
2026-06-12T13:50:00+00:00,4190.575,4193.475,4186.485,4189.285,362760
2026-06-12T13:55:00+00:00,4189.195,4192.185,4183.275,4185.905,304920
2026-06-12T14:00:00+00:00,4185.935,4198.325,4185.285,4194.225,383710
2026-06-12T14:05:00+00:00,4194.705,4198.325,4184.545,4198.005,351330
2026-06-12T14:10:00+00:00,4197.985,4197.995,4189.585,4193.025,335550
2026-06-12T14:15:00+00:00,4192.855,4199.335,4190.005,4190.005,327160
2026-06-12T14:20:00+00:00,4189.975,4191.735,4182.455,4187.205,339000
2026-06-12T14:25:00+00:00,4187.245,4194.015,4186.428,4188.495,307490
2026-06-12T14:30:00+00:00,4188.435,4189.585,4180.935,4186.735,334640
2026-06-12T14:35:00+00:00,4186.735,4192.655,4185.605,4192.005,302840
2026-06-12T14:40:00+00:00,4192.045,4193.045,4180.945,4184.345,338610
2026-06-12T14:45:00+00:00,4184.365,4184.915,4176.945,4182.815,356010
2026-06-12T14:50:00+00:00,4182.935,4207.755,4179.315,4207.055,353590
2026-06-12T14:55:00+00:00,4207.015,4208.365,4201.105,4203.805,350880
2026-06-12T15:00:00+00:00,4203.885,4209.325,4200.065,4203.125,290220
2026-06-12T15:05:00+00:00,4203.105,4210.665,4203.105,4208.395,260820
2026-06-12T15:10:00+00:00,4208.105,4214.955,4208.105,4213.795,249850
2026-06-12T15:15:00+00:00,4213.775,4219.045,4212.455,4214.995,243030
2026-06-12T15:20:00+00:00,4215.035,4230.355,4212.875,4227.805,277800
2026-06-12T15:25:00+00:00,4227.785,4235.298,4223.155,4225.605,318540
2026-06-12T15:30:00+00:00,4225.585,4228.235,4218.175,4219.165,265660
2026-06-12T15:35:00+00:00,4219.325,4226.465,4214.865,4218.895,302490
2026-06-12T15:40:00+00:00,4218.755,4219.115,4210.255,4210.765,278320
2026-06-12T15:45:00+00:00,4210.835,4215.045,4206.805,4207.535,278000
2026-06-12T15:50:00+00:00,4207.635,4216.345,4207.395,4215.095,278430
2026-06-12T15:55:00+00:00,4215.315,4218.715,4210.945,4211.675,251260
2026-06-12T16:00:00+00:00,4211.685,4213.645,4207.925,4209.435,272110
2026-06-12T16:05:00+00:00,4209.395,4214.575,4207.945,4213.045,216630
2026-06-12T16:10:00+00:00,4212.975,4224.765,4211.295,4221.475,244250
2026-06-12T16:15:00+00:00,4221.615,4232.735,4220.695,4223.515,278760
2026-06-12T16:20:00+00:00,4223.548,4225.195,4218.025,4218.085,232080
2026-06-12T16:25:00+00:00,4218.015,4220.565,4215.548,4216.825,207720
2026-06-12T16:30:00+00:00,4216.785,4218.555,4215.785,4217.575,184300
2026-06-12T16:35:00+00:00,4217.695,4218.325,4211.435,4216.815,207690
2026-06-12T16:40:00+00:00,4216.748,4220.215,4212.855,4213.085,240310
2026-06-12T16:45:00+00:00,4213.125,4214.705,4211.115,4213.265,241560
2026-06-12T16:50:00+00:00,4213.235,4216.685,4211.695,4214.925,196710
2026-06-12T16:55:00+00:00,4214.965,4217.985,4213.275,4215.755,212880
2026-06-12T17:00:00+00:00,4215.665,4220.625,4215.665,4220.295,206280
2026-06-12T17:05:00+00:00,4220.345,4226.165,4218.855,4220.445,251170
2026-06-12T17:10:00+00:00,4220.425,4221.525,4214.845,4218.205,219780
2026-06-12T17:15:00+00:00,4218.335,4218.515,4213.575,4217.695,193260
2026-06-12T17:20:00+00:00,4217.775,4223.665,4217.565,4220.825,210630
2026-06-12T17:25:00+00:00,4221.075,4221.305,4216.405,4218.635,209070
2026-06-12T17:30:00+00:00,4218.655,4220.215,4213.625,4219.705,188010
2026-06-12T17:35:00+00:00,4219.745,4221.135,4217.265,4218.245,173310
2026-06-12T17:40:00+00:00,4218.145,4223.405,4217.155,4222.225,176460
2026-06-12T17:45:00+00:00,4222.195,4224.845,4221.695,4223.015,157080
2026-06-12T17:50:00+00:00,4223.045,4224.395,4222.315,4223.415,153510
2026-06-12T17:55:00+00:00,4223.335,4223.435,4219.425,4221.065,157350
2026-06-12T18:00:00+00:00,4221.165,4222.365,4219.328,4219.595,161190
2026-06-12T18:05:00+00:00,4219.595,4220.825,4218.005,4220.425,177600
2026-06-12T18:10:00+00:00,4220.465,4228.308,4219.955,4226.835,193890
2026-06-12T18:15:00+00:00,4226.798,4229.498,4224.975,4229.098,281670
2026-06-12T18:20:00+00:00,4229.098,4235.148,4228.628,4228.748,286770
2026-06-12T18:25:00+00:00,4228.878,4229.128,4224.145,4226.228,476520
2026-06-12T18:30:00+00:00,4226.225,4228.228,4224.128,4227.128,438870
